"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2019","379.48","376.76","380.58","376.76","197.01M","0.73%"
"08/29/2019","376.74","372.41","377.17","371.94","194.34M","1.04%"
"08/28/2019","372.86","373.48","373.48","369.86","174.34M","-0.20%"
"08/27/2019","373.62","371.37","374.37","370.06","209.02M","0.63%"
"08/26/2019","371.28","370.57","372.23","369.08","73.31M","-0.02%"
"08/23/2019","371.36","374.90","376.52","371.36","175.74M","-0.78%"
"08/22/2019","374.29","375.32","376.69","373.43","177.00M","-0.40%"
"08/21/2019","375.80","371.61","376.37","371.61","152.87M","1.21%"
"08/20/2019","371.30","373.87","375.17","371.06","182.07M","-0.68%"
"08/19/2019","373.86","370.43","374.17","370.43","177.67M","1.14%"
"08/16/2019","369.63","365.31","369.95","365.31","240.28M","1.24%"
"08/15/2019","365.09","366.28","367.03","361.07","232.06M","-0.29%"
"08/14/2019","366.16","372.74","372.80","364.96","231.32M","-1.68%"
"08/13/2019","372.40","370.12","374.21","367.17","224.93M","0.54%"
"08/12/2019","370.41","372.09","375.35","370.08","168.00M","-0.31%"
"08/09/2019","371.56","374.73","374.97","371.11","227.22M","-0.84%"
"08/08/2019","374.71","370.02","374.71","370.02","195.89M","1.66%"
"08/07/2019","368.60","368.08","371.70","365.99","222.71M","0.24%"
"08/06/2019","367.71","369.07","371.98","367.56","206.93M","-0.47%"
"08/05/2019","369.43","376.74","376.74","368.65","271.76M","-2.31%"
"08/02/2019","378.15","385.72","385.72","377.31","277.00M","-2.46%"
"08/01/2019","387.68","384.93","387.92","384.40","208.10M","0.50%"
"07/31/2019","385.77","384.95","386.34","384.47","245.60M","0.17%"
"07/30/2019","385.11","390.42","390.70","384.46","233.84M","-1.47%"
"07/29/2019","390.85","390.38","392.56","389.77","178.07M","0.03%"
"07/26/2019","390.73","389.27","391.12","389.06","207.43M","0.31%"
"07/25/2019","389.52","392.08","395.10","387.64","220.37M","-0.56%"
"07/24/2019","391.73","391.56","392.05","390.36","179.43M","0.05%"
"07/23/2019","391.54","388.28","392.49","388.28","183.69M","0.98%"
"07/22/2019","387.74","387.15","388.54","386.63","151.85M","0.13%"
"07/19/2019","387.25","387.22","389.45","386.19","191.13M","0.12%"
"07/18/2019","386.80","387.09","388.08","385.02","167.60M","-0.22%"
"07/17/2019","387.66","388.82","389.70","387.19","173.24M","-0.37%"
"07/16/2019","389.10","387.55","389.71","387.19","166.53M","0.35%"
"07/15/2019","387.75","386.82","388.73","385.72","138.21M","0.23%"
"07/12/2019","386.85","386.72","387.73","386.39","154.08M","0.04%"
"07/11/2019","386.70","387.85","388.64","386.27","158.97M","-0.12%"
"07/10/2019","387.15","387.69","389.37","386.79","167.20M","-0.20%"
"07/09/2019","387.92","389.27","389.27","386.47","166.23M","-0.51%"
"07/08/2019","389.90","390.01","390.90","389.06","156.77M","-0.05%"
"07/05/2019","390.11","392.90","392.91","389.09","169.91M","-0.72%"
"07/04/2019","392.94","392.65","393.40","392.43","158.04M","0.09%"
"07/03/2019","392.58","389.36","392.67","389.36","201.01M","0.85%"
"07/02/2019","389.29","388.35","389.69","387.88","164.53M","0.37%"
"07/01/2019","387.87","385.34","389.98","385.34","184.00M","0.78%"
"06/28/2019","384.87","382.14","385.10","382.12","194.70M","0.70%"
"06/27/2019","382.21","382.12","383.56","380.72","178.94M","0.00%"
"06/26/2019","382.20","382.97","384.30","381.90","178.60M","-0.31%"
"06/25/2019","383.40","383.73","383.83","382.39","168.24M","-0.10%"
"06/24/2019","383.79","384.61","385.88","383.38","171.77M","-0.25%"
"06/21/2019","384.76","386.16","387.07","384.08","402.29M","-0.36%"
"06/20/2019","386.16","385.40","387.87","385.40","231.50M","0.36%"
"06/19/2019","384.77","384.83","385.03","383.54","221.10M","0.00%"
"06/18/2019","384.78","378.22","385.43","376.73","239.92M","1.67%"
"06/17/2019","378.46","378.83","379.69","377.75","143.32M","-0.09%"
"06/14/2019","378.81","379.99","379.99","377.41","156.54M","-0.40%"
"06/13/2019","380.33","379.36","381.40","378.71","163.35M","0.16%"
"06/12/2019","379.74","379.86","380.19","378.34","188.54M","-0.30%"
"06/11/2019","380.89","378.54","382.07","378.54","189.90M","0.69%"
"06/10/2019","378.27","377.63","378.98","377.63","117.67M","0.21%"
"06/07/2019","377.48","374.25","378.39","374.25","175.02M","0.93%"
"06/06/2019","374.01","374.05","376.75","373.15","196.91M","-0.02%"
"06/05/2019","374.08","372.76","374.90","372.54","201.24M","0.38%"
"06/04/2019","372.67","369.89","373.35","367.81","227.76M","0.59%"
"06/03/2019","370.49","368.79","370.49","365.77","193.23M","0.39%"
"05/31/2019","369.06","371.51","371.51","366.64","231.28M","-0.81%"
"05/30/2019","372.07","370.83","372.69","370.83","157.08M","0.42%"
"05/29/2019","370.51","375.27","388.96","369.91","186.93M","-1.43%"
"05/28/2019","375.90","376.98","377.61","374.78","337.72M","-0.22%"
"05/27/2019","376.71","376.37","378.54","376.36","66.11M","0.22%"
"05/24/2019","375.89","373.90","377.12","373.90","183.13M","0.56%"
"05/23/2019","373.79","378.39","378.39","373.31","219.42M","-1.42%"
"05/22/2019","379.19","378.92","380.36","376.91","203.27M","-0.08%"
"05/21/2019","379.50","377.43","380.25","377.43","201.85M","0.54%"
"05/20/2019","377.46","381.12","381.89","375.95","209.19M","-1.06%"
"05/17/2019","381.51","382.35","382.35","379.28","206.40M","-0.36%"
"05/16/2019","382.88","377.47","382.88","376.36","205.14M","1.27%"
"05/15/2019","378.06","376.40","378.06","373.80","232.30M","0.46%"
"05/14/2019","376.34","372.67","376.34","372.67","199.11M","1.01%"
"05/13/2019","372.57","377.25","377.31","371.76","207.80M","-1.21%"
"05/10/2019","377.14","376.65","379.59","376.30","188.70M","0.32%"
"05/09/2019","375.92","381.22","381.22","375.48","225.78M","-1.65%"
"05/08/2019","382.23","381.38","382.70","379.89","214.97M","0.15%"
"05/07/2019","381.64","386.91","387.85","381.10","233.43M","-1.37%"
"05/06/2019","386.95","389.06","389.06","384.17","96.74M","-0.88%"
"05/03/2019","390.37","389.14","391.09","388.83","151.44M","0.39%"
"05/02/2019","388.84","390.44","390.63","388.70","195.55M","-0.58%"
"05/01/2019","391.09","391.46","391.78","390.99","152.24M","-0.07%"
"04/30/2019","391.35","390.86","391.35","389.93","200.28M","0.01%"
"04/29/2019","391.32","390.86","392.05","389.63","152.05M","0.08%"
"04/26/2019","391.01","390.19","391.09","389.24","199.40M","0.22%"
"04/25/2019","390.15","390.76","390.87","388.85","182.89M","-0.21%"
"04/24/2019","390.98","391.09","392.22","390.32","203.50M","-0.09%"
"04/23/2019","391.35","389.84","391.55","389.29","201.22M","0.23%"
"04/18/2019","390.46","389.36","391.07","388.16","179.70M","0.22%"
"04/17/2019","389.59","389.14","390.34","388.25","203.84M","0.10%"
"04/16/2019","389.21","387.99","389.63","387.99","180.89M","0.29%"
"04/15/2019","388.10","387.11","388.59","387.11","165.69M","0.15%"
"04/12/2019","387.53","386.30","387.71","385.81","219.34M","0.16%"
"04/11/2019","386.91","386.33","387.78","384.92","187.74M","0.06%"
